Date,Price
2025-07-22,41.8194
2025-07-23,41.7653
2025-07-24,41.7651
2025-07-25,41.7738
2025-07-28,41.7824
2025-07-29,41.7997
2025-07-30,41.7886
2025-07-31,41.7662
2025-08-01,41.7132
2025-08-04,41.7644
2025-08-05,41.7901
2025-08-06,41.6845
2025-08-07,41.611
2025-08-08,41.4564
2025-08-11,41.3895
2025-08-12,41.449
2025-08-13,41.4268
2025-08-14,41.5149
2025-08-15,41.45
2025-08-18,41.3401
2025-08-19,41.2589
2025-08-20,41.3557
2025-08-21,41.3782
2025-08-22,41.2185
2025-08-25,41.2839
2025-08-26,41.43
2025-08-27,41.4047
2025-08-28,41.3222
2025-08-29,41.2602
2025-09-01,41.3203
2025-09-02,41.3722
2025-09-03,41.3631
2025-09-04,41.3719
2025-09-05,41.3494
2025-09-08,41.2199
2025-09-09,41.2497
2025-09-10,41.1237
2025-09-11,41.2138
2025-09-12,41.3127
2025-09-15,41.2838
2025-09-16,41.2317
2025-09-17,41.1752
2025-09-18,41.1941
2025-09-19,41.2488
2025-09-22,41.2502
2025-09-23,41.3811
2025-09-24,41.378
2025-09-25,41.4105
2025-09-26,41.4939
2025-09-29,41.4789
2025-09-30,41.3176
2025-10-01,41.142
2025-10-02,41.2215
2025-10-03,41.2764
2025-10-06,41.2286
2025-10-07,41.3409
2025-10-08,41.3158
2025-10-09,41.4024
2025-10-10,41.5062
2025-10-13,41.6027
2025-10-14,41.6102
2025-10-15,41.7514
2025-10-16,41.7607
2025-10-17,41.6358
2025-10-20,41.7308
2025-10-21,41.7565
2025-10-22,41.7441
2025-10-23,41.755
2025-10-24,41.897
2025-10-27,41.9969
2025-10-28,42.0704
2025-10-29,42.0831
2025-10-30,42.0115
2025-10-31,41.9701
2025-11-03,41.8924
2025-11-04,42.0409
2025-11-05,42.0725
2025-11-06,42.0671
2025-11-07,42.0836
2025-11-10,41.9782
2025-11-11,41.9559
2025-11-12,42.0139
2025-11-13,42.0377
2025-11-14,42.0641
2025-11-17,42.0423
2025-11-18,42.067
2025-11-19,42.0924
2025-11-20,42.0948
2025-11-21,42.1549
2025-11-24,42.2672
2025-11-25,42.3713
2025-11-26,42.4015
2025-11-27,42.2987
2025-11-28,42.1928
2025-12-01,42.266
2025-12-02,42.3413
2025-12-03,42.3342
2025-12-04,42.2034
2025-12-05,42.1838
2025-12-08,42.0567
2025-12-09,42.07
2025-12-10,42.1838
2025-12-11,42.2812
2025-12-12,42.2721
2025-12-15,42.1936
2025-12-16,42.2451
2025-12-17,42.1848
2025-12-18,42.3384
2025-12-19,42.3374
2025-12-22,42.2481
2025-12-23,42.1482
2025-12-24,42.1003
2025-12-25,42.1541
2025-12-26,41.9331
2025-12-29,42.0637
2025-12-30,42.2179
2025-12-31,42.3878
2026-01-01,42.3532
2026-01-02,42.1701
2026-01-05,42.2942
2026-01-06,42.4208
2026-01-07,42.5634
2026-01-08,42.7155
2026-01-09,42.9904
2026-01-12,43.0757
2026-01-13,43.2552
2026-01-14,43.1762
2026-01-15,43.1236
2026-01-16,43.3927
2026-01-19,43.413
2026-01-20,43.2678
2026-01-21,43.2522
2026-01-22,43.1759
2026-01-23,43.1667
2026-01-26,43.1391
2026-01-27,43.1253
2026-01-28,42.9563
2026-01-29,42.7689
2026-01-30,42.8483
2026-02-02,42.8113
2026-02-03,42.9697
2026-02-04,43.1928
2026-02-05,43.1695
2026-02-06,43.1405
2026-02-09,43.0487
2026-02-10,43.0267
2026-02-11,43.0904
2026-02-12,43.0318
2026-02-13,42.993
2026-02-16,43.102
2026-02-17,43.1705
2026-02-18,43.2577
2026-02-19,43.292
2026-02-20,43.2667
2026-02-23,43.2747
2026-02-24,43.2982
2026-02-25,43.2648
2026-02-26,43.2413
2026-02-27,43.2081
